id,target
199,8713450.0
200,3433850.0
201,6506450.0
202,11803500.08
203,8500250.0
204,21609950.0
205,6719350.0
206,12767600.32
207,15825800.0
208,3713700.0
209,1877000.0
210,3108700.0
211,39171450.0
212,10002500.16
213,1209825.0
214,1204880.0
215,2050485.0
216,23591850.0
217,5203400.0
218,2787300.0
219,15065000.0
220,20607450.0
221,6722350.0
222,1198900.0
223,7520100.0
224,9373000.0
225,3170000.0
226,15285750.0
227,1120150.0
228,3901900.0
229,2478425.0
230,3459100.0
231,4376900.0
232,845250.0
233,4491800.0
234,9292350.0
235,3641575.0
236,3333000.0
237,30403500.0
238,15377150.0
239,2383030.0
240,81550050.0
241,13384050.0
242,29347750.0
243,22387250.0
244,17704350.0
245,1146800.0
246,2428630.0
247,7538100.0
248,3287100.0
249,4207800.0
250,1285275.0
251,15288750.0
252,4450200.0
253,10858450.0
254,2522100.0
255,24944400.0
256,3857500.0
257,26768250.0
258,26352250.0
259,3165650.0
260,5642600.0
261,1313700.0
262,3038850.0
263,4080300.0
264,2590500.0
265,16053350.0
266,2745200.09
267,2724475.0
268,2931500.0
269,8404650.0
270,1158750.0
271,2892550.0
272,11997105.0
273,16105700.0
274,12989700.0
275,7820300.0
276,2354540.0
277,5481800.0
278,12242950.0
279,22950700.0
280,3622500.0
281,3314150.0
282,10364000.08
283,7584300.0
284,1211700.0
285,8634330.24
286,7023550.0
287,10145100.0
288,3339050.0
289,9037100.0
290,8062825.0
291,4866900.0
292,20568900.0
293,8380480.0
294,3216125.0
295,3274710.0
296,23814000.0
297,17370650.0
298,2477300.0
299,3452650.0
300,8439650.0
301,4486525.0
302,6703550.0
303,3746900.0
304,15057000.0
305,8153400.0
306,21012400.0
307,31058000.0
308,3305150.0
309,2048950.0
310,9502300.0
311,45828500.0
312,8645800.0
313,3525450.0
314,2305550.0
315,7875200.0
316,3082625.0
317,23387200.0
318,3630000.0
319,2717750.0
320,6977550.0
321,7060600.0
322,16237750.0
323,4420500.0
324,2178980.0
325,2469750.0
326,12888100.0
327,44961550.0
328,7833300.0
329,8216300.0
330,11353100.0
331,5334000.0
332,8456050.0
333,2706180.0
334,3778600.0
335,1197050.0
336,22327600.0
337,4713750.0
338,22901300.0
339,3256850.0
340,4998950.0
341,8219650.0
342,1402000.0
343,19310700.0
344,16437500.0
345,2149725.0
346,5210100.0
347,15927300.0
348,7283150.0
349,1237050.0
350,10596100.0
351,3905800.0
352,1505395.0
353,3258650.0
354,11538100.0
355,2453450.0
356,2372670.0
357,4285500.0
358,6199050.0
359,2058990.0
360,3783500.0
361,4131700.0
362,2277000.0
363,20347000.24
364,3596925.0
365,8589000.0
366,1312980.0
367,23257500.0
368,4337900.0
369,1149600.0
370,15106250.0
371,17426950.0
372,12006000.0
373,4757500.0
374,5350330.08
375,12623700.0
376,3069200.0
377,10265100.0
378,6074550.0
379,2691600.0
380,2756200.09
381,4430750.0
382,5530800.0
383,11940300.32
384,1162125.0
385,8969050.0
386,22226400.0
387,3118180.0
388,3030000.0
389,7563100.0
390,13946850.0
391,4434100.0
392,2632525.0
393,11964105.0
394,3476900.0
395,4376650.0
396,3379300.0
397,1692500.0
398,5523550.0
399,13431300.0
400,2868600.0
401,7821250.0
402,2291775.0
403,13586450.0
404,13701050.0
405,1140860.0
406,85591800.0
407,10408350.0
408,10086750.0
409,10125150.0
410,22590300.0
411,15106000.0
412,1041780.0
413,8212250.0
414,13728300.0
415,4532950.0
416,7469700.0
417,3698100.0
418,27929950.0
419,7724500.0
420,3403250.0
421,10659800.0
422,30298250.0
423,16436050.0
424,3181900.0
425,1274960.0
426,4332300.0
427,35906000.0
428,4230900.0
429,3337200.0
430,7044400.0
431,15643100.0
432,5228550.0
433,8671000.0
434,2534650.0
435,3828550.0
